x,y,date_single
365535.52056505135,563965.210714206,01/01/2014
354282.51940179314,565699.2848491867,01/01/2014
350891.6313649126,588465.7878686612,01/01/2014
354781.7840087402,567399.7363727243,01/01/2014
359429.45327309263,557683.0095090292,01/01/2014
364030.6738659124,565422.7883374257,01/01/2014
359073.1326738377,581066.1411165647,01/01/2014
360690.66634356475,567303.1654693944,01/01/2014
360690.66634356475,567303.1654693944,01/01/2014
357403.1175148353,562139.8546770987,01/01/2014
359091.6752269147,569252.5757814624,01/01/2014
351943.8568876477,576178.5793915148,01/01/2014
348458.6833638447,587989.3628671227,01/01/2014
350933.7128893482,587036.2067191132,01/01/2014
350875.50891031546,589026.8297012815,01/01/2014
360516.6578617765,559200.9240706147,01/01/2014
347180.99829531275,585439.698232422,01/01/2014
358789.3178411545,565596.2818995086,01/01/2014
353761.3457101829,583913.5749299874,01/01/2014
362214.3471260568,567102.5515825126,01/01/2014
349938.2112674598,568034.6982411913,02/01/2014
355918.7503609455,564574.8292514902,02/01/2014
358135.5212163037,564811.088113591,02/01/2014
359460.16930195445,562568.9443993351,02/01/2014
348752.56870805216,580742.7315013597,02/01/2014
353618.4125054175,571223.5098724428,02/01/2014
350565.2232620856,567399.7728103127,02/01/2014
351792.36466573377,592083.0718792896,02/01/2014
354115.82499519,592148.0672873378,02/01/2014
360796.74366589,554359.4972649427,02/01/2014
355365.5119994903,584271.107214382,02/01/2014
352641.17040351935,565861.0693113388,03/01/2014
355961.36127022974,570392.8772436696,03/01/2014
356700.5480553103,569198.3248695143,03/01/2014
364476.89721046883,565891.87123885,03/01/2014
360118.2562099097,566049.736948774,03/01/2014
350722.796341611,569049.3176151672,03/01/2014
357333.0295771329,576470.9090560463,03/01/2014
350770.946489306,574678.4084886006,03/01/2014
351382.6998469258,564921.1331954211,03/01/2014
359556.5172545774,555785.9377805536,03/01/2014
358554.93319565686,572436.569957979,03/01/2014
360414.5146019471,572828.8357226689,03/01/2014
346951.7788515477,587145.9572566453,03/01/2014
355220.746284004,567932.4903310714,03/01/2014
347136.20573553967,580419.6180426902,03/01/2014
350298.2072575126,586527.5067840053,03/01/2014
351637.19527136977,590907.5241429043,03/01/2014
347930.84470217355,577940.0891552792,03/01/2014
357843.2230851421,580203.8612907986,03/01/2014
356948.6677512985,560294.524961942,03/01/2014
359225.47182698257,569276.6760204,03/01/2014
355040.58934558794,586629.633031919,03/01/2014
353625.0760760047,567078.7405472095,03/01/2014
362478.0355256325,564901.0023448705,03/01/2014
353891.1704680802,566976.665464784,03/01/2014
346177.2939230958,588255.7411767181,04/01/2014
362280.4908481514,565073.2240231347,04/01/2014
358956.37870937405,569269.119139423,04/01/2014
357843.2230851421,580203.8612907986,04/01/2014
352962.48731431476,588391.6226324791,04/01/2014
352794.4976942651,564038.0546532864,04/01/2014
363988.9005286557,565369.431422175,04/01/2014
349852.5694283456,589259.7211298345,04/01/2014
359430.9580945818,561787.7414151229,04/01/2014
357364.39523659047,570759.2240948292,04/01/2014
348037.2021032843,580904.813440509,04/01/2014
354909.85613438726,581661.7245484323,04/01/2014
364048.3596597569,565686.1964655588,04/01/2014
351326.2778328465,576536.097733939,04/01/2014
352837.8320348119,590426.5114575564,04/01/2014
349961.7021958053,589016.7871753861,04/01/2014
361066.2176309729,564695.5441903049,04/01/2014
359280.9678387243,568538.8204635618,04/01/2014
353796.0588405743,580527.8005340471,04/01/2014
352184.89106804226,571310.6350773361,04/01/2014
349649.85308893194,589196.3203359197,05/01/2014
356302.7649036024,584237.2559487779,05/01/2014
358148.06526797026,564352.343580324,05/01/2014
358629.6196771568,581593.9783693837,05/01/2014
348350.24103895715,570208.7933634183,05/01/2014
356648.41614848835,567395.7328316721,05/01/2014
363988.91940277134,565367.3211503696,05/01/2014
350164.6702715897,574659.2352866686,05/01/2014
351585.65880145127,574542.190049978,05/01/2014
352920.08954609704,581721.739578243,05/01/2014
348855.56548588217,584958.0574454024,05/01/2014
360797.056942336,571137.5081120081,05/01/2014
352893.58552360174,567904.4516853029,05/01/2014
356766.67051053507,558957.0987205991,05/01/2014
359170.93127383955,566435.3747082347,05/01/2014
355495.9825334897,565279.5192298514,05/01/2014
358973.1603277543,568655.7906492274,05/01/2014
347390.40060562163,578349.668183308,05/01/2014
353946.3326793424,566498.1338733078,05/01/2014
358458.9059684721,557080.4602460589,06/01/2014
353398.3082174803,571553.3050208089,06/01/2014
353753.98601975193,566090.0471663774,06/01/2014
360690.6718206803,567292.7244507816,06/01/2014
355887.6393336675,564394.0921089151,06/01/2014
359333.99587950483,580424.5073769515,06/01/2014
356932.78041795344,583851.6135208741,06/01/2014
358911.26801900077,576262.1785324494,06/01/2014
359061.83804644493,556169.3819345239,06/01/2014
355307.0238124769,594105.7879034809,06/01/2014
356678.93207353115,573679.575008521,06/01/2014
361492.94452232716,570096.9083625696,06/01/2014
351983.4471788669,589252.1197473729,06/01/2014
355335.050116784,567321.6913266192,06/01/2014
359247.1835020713,556283.6488411163,06/01/2014
344823.39071785845,584205.1815139082,07/01/2014
344550.6007169296,582135.3841926049,07/01/2014
350213.1924256636,576508.7330823452,07/01/2014
360616.9118918628,562649.7305517416,07/01/2014
354782.3939307539,563964.3577254183,07/01/2014
352909.3971271349,584152.2199991028,07/01/2014
351424.7649672632,582823.308563981,07/01/2014
353737.57949227124,566679.8328979947,07/01/2014
356631.9660816648,585458.6077350894,07/01/2014
356212.878333375,568572.3455319025,07/01/2014
357204.39509510814,566856.8959410543,07/01/2014
363800.89313036046,564758.3910285597,07/01/2014
343913.4976937567,582400.222266394,07/01/2014
352612.2716583941,572200.6946991512,07/01/2014
359711.3377226918,558926.2615874299,07/01/2014
358153.8223564624,576538.8709472892,07/01/2014
360605.96177392174,563058.7246883176,07/01/2014
354101.18317708955,582912.2453776571,07/01/2014
354477.6467022408,584995.0227700329,07/01/2014
359753.69936109724,554288.4285304778,08/01/2014
365442.5414624902,563644.0168066138,08/01/2014
348146.26759928354,585057.4074408407,08/01/2014
363478.3636791914,563188.0263871761,08/01/2014
357256.20135654946,585676.7653691524,08/01/2014
360057.9394217046,568299.8309405729,08/01/2014
361136.8758083589,568299.8697273625,08/01/2014
349730.6313589609,568176.6455082473,08/01/2014
361857.7588575317,569902.4537876337,08/01/2014
363931.2777967879,565218.8528876354,08/01/2014
357201.31170251546,585675.3237813243,08/01/2014
350163.7966324407,567223.5611946977,08/01/2014
354232.5863017576,567535.0576788904,08/01/2014
356199.7285485705,573917.2618705186,08/01/2014
360616.6353703056,567669.52983651,08/01/2014
352130.6233510063,568041.9090943751,08/01/2014
360180.4794813907,567470.4640535928,08/01/2014
351813.69898481533,577199.7388035032,08/01/2014
356270.4483988983,573850.5077571892,08/01/2014
