x,y,date_single
365535.5205650503,563965.210714206,01/01/2014
354282.51940179314,565699.2848491867,01/01/2014
350891.6313649147,588465.7878686612,01/01/2014
354781.7840087402,567399.7363727265,01/01/2014
359429.45327309263,557683.0095090292,01/01/2014
364030.67386591237,565422.7883374247,01/01/2014
359073.1326738377,581066.1411165654,01/01/2014
360690.6663435648,567303.1654693944,01/01/2014
360690.6663435648,567303.1654693944,01/01/2014
357403.11751483526,562139.8546770987,01/01/2014
359091.67522691365,569252.5757814624,01/01/2014
351943.8568876498,576178.5793915148,01/01/2014
348458.68336384575,587989.3628671227,01/01/2014
350933.7128893482,587036.2067191125,01/01/2014
350875.50891031546,589026.8297012808,01/01/2014
360516.65786177653,559200.924070614,01/01/2014
347180.99829531275,585439.6982324213,01/01/2014
358789.3178411545,565596.2818995079,01/01/2014
353761.3457101829,583913.5749299874,01/01/2014
362214.34712605784,567102.5515825126,01/01/2014
349938.2112674598,568034.6982411913,02/01/2014
355918.7503609455,564574.8292514895,02/01/2014
358135.52121630375,564811.088113591,02/01/2014
359460.1693019534,562568.9443993337,02/01/2014
348752.56870805216,580742.7315013598,02/01/2014
353618.4125054175,571223.5098724421,02/01/2014
350565.2232620856,567399.7728103127,02/01/2014
351792.3646657338,592083.0718792911,02/01/2014
354115.82499518996,592148.0672873378,02/01/2014
360796.74366588995,554359.4972649427,02/01/2014
355365.5119994903,584271.107214382,02/01/2014
352641.17040351935,565861.0693113395,03/01/2014
355961.3612702298,570392.8772436695,03/01/2014
356700.5480553102,569198.3248695143,03/01/2014
364476.8972104709,565891.8712388494,03/01/2014
360118.2562099097,566049.7369487747,03/01/2014
350722.796341611,569049.3176151665,03/01/2014
357333.029577134,576470.909056047,03/01/2014
350770.946489306,574678.4084886006,03/01/2014
351382.6998469258,564921.1331954211,03/01/2014
359556.5172545774,555785.9377805543,03/01/2014
358554.93319565686,572436.5699579798,03/01/2014
360414.51460194605,572828.8357226689,03/01/2014
346951.77885154774,587145.9572566453,03/01/2014
355220.74628400395,567932.4903310721,03/01/2014
347136.2057355397,580419.6180426895,03/01/2014
350298.2072575137,586527.5067840046,03/01/2014
351637.19527136977,590907.5241429043,03/01/2014
347930.84470217355,577940.0891552792,03/01/2014
357843.2230851421,580203.8612907979,03/01/2014
356948.6677512985,560294.524961942,03/01/2014
359225.4718269826,569276.6760204,03/01/2014
355040.589345588,586629.6330319191,03/01/2014
353625.0760760047,567078.7405472088,03/01/2014
362478.03552563244,564901.0023448705,03/01/2014
353891.1704680802,566976.665464784,03/01/2014
346177.2939230958,588255.7411767181,04/01/2014
362280.4908481513,565073.2240231347,04/01/2014
358956.3787093741,569269.1191394237,04/01/2014
357843.2230851421,580203.8612907979,04/01/2014
352962.4873143148,588391.6226324791,04/01/2014
352794.49769426504,564038.054653287,04/01/2014
363988.90052865574,565369.431422175,04/01/2014
349852.5694283456,589259.7211298352,04/01/2014
359430.9580945818,561787.7414151229,04/01/2014
357364.39523659163,570759.2240948292,04/01/2014
348037.2021032843,580904.8134405091,04/01/2014
354909.8561343873,581661.7245484323,04/01/2014
364048.3596597569,565686.1964655609,04/01/2014
351326.2778328465,576536.097733939,04/01/2014
352837.8320348119,590426.5114575564,04/01/2014
349961.70219580526,589016.7871753875,04/01/2014
361066.21763097285,564695.5441903049,04/01/2014
359280.9678387243,568538.8204635618,04/01/2014
353796.0588405764,580527.8005340456,04/01/2014
352184.8910680412,571310.6350773361,04/01/2014
349649.8530889319,589196.3203359197,05/01/2014
356302.7649036024,584237.2559487786,05/01/2014
358148.06526797125,564352.343580324,05/01/2014
358629.6196771568,581593.9783693837,05/01/2014
348350.24103895715,570208.7933634183,05/01/2014
356648.41614848835,567395.7328316728,05/01/2014
363988.9194027713,565367.3211503696,05/01/2014
350164.67027158866,574659.2352866686,05/01/2014
351585.6588014513,574542.190049978,05/01/2014
352920.0895460981,581721.7395782437,05/01/2014
348855.5654858812,584958.0574454024,05/01/2014
360797.056942336,571137.5081120081,05/01/2014
352893.5855236016,567904.4516853022,05/01/2014
356766.6705105351,558957.0987205991,05/01/2014
